Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms,Also played as Brooklyn Dodgers Brooklyn Robins Brooklyn Superbas Brooklyn Grooms Brooklyn and Brooklyn Bridegrooms
16,Miami Marlins,1993,2026,5251,2421,2830,.461,-409,0,2,2,4,804,6,22135,178443,45424,4786,.255,24384,4.30
,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins,Also played as Florida Marlins
,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves,Milwaukee Braves see Atlanta Braves
17,Milwaukee Brewers,1969,2026,9078,4450,4624,.490,-174,8,1,0,11,1089,9,40499,308197,78956,8898,.256,41027,4.13
,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots,Also played as Seattle Pilots
,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles,Milwaukee Brewers (1901) see Baltimore Orioles
18,Minnesota Twins,1901,2026,19563,9366,10088,.481,-722,13,6,3,18,1868,29,86043,667289,174848,12259,.262,89411,4.00
,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals,Also played as Washington Senators and Washington Nationals
,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals,Montreal Expos see Washington Nationals
,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants,New York Giants see San Francisco Giants
19,New York Mets,1962,2026,10210,4933,5269,.484,-336,6,5,2,11,1310,19,42201,345412,86264,8831,.250,43006,3.81
20,New York Yankees,1903,2026,19251,10918,8245,.570,2673,21,41,27,60,1847,51,93598,656043,174042,17628,.265,80270,3.66
,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders,Also played as New York Highlanders
